NIVEL	CONTENIDO	TAGS	URL
1	Bloque I: Lengua,Habilidades Lingüísticas y Literatura	[UNAM,IPN,UAM,EXANI II ESP,BUAP,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.1	Funciones y Formas del Discurso	[UNAM,IPN,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.1.1	Funciones de la lengua	[UNAM,IPN,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.1.1.1	Función referencial,apelativa, fática, metalingüística, emotiva y poética.	[UNAM,IPN,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.1.2	Formas del discurso	[UNAM,IPN]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.1.2.1	Discurso descriptivo,narrativo y argumentativo.	[UNAM,IPN]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2	Comprensión de Lectura	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.1	Estructura y análisis del texto	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.1.1	Identificación de ideas principales y secundarias.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.1.2	Título,introducción,desarrollo y conclusión.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.1.3	Frases clave e inferencia de datos implícitos y explícitos.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.1.4	Intención comunicativa y punto de vista del autor.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.1.5	Relaciones internas: causa-efecto,antecedente-consecuente,oposición.	[UAM,EXANI II ESP,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.1.6	Tono del autor y contexto de la obra.	[PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.1.7	Inferencia de rasgos,sentimientos y motivos de los personajes.	[UNAM,IPN,EXANI II ESP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.2	Tipología textual (Comprensión)	[UNAM,IPN,UAM,EXANI II ESP,PAA,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.2.1	Textos periodísticos: noticia,artículo de opinión,crónica (estructura y propósito).	[UNAM,IPN,EXANI II ESP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.2.2	Textos dramáticos: organización dialógica,acción,personajes,tragedia y comedia.	[UNAM,EXANI II MOD11]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.2.3	Textos poéticos: metro,rima,ritmo,análisis intratextual.	[UNAM,IPN,EXANI II MOD11]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.2.4	Textos expositivos,científicos y argumentativos.	[UNAM,IPN,EXANI II ESP,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.3	Interpretación de imágenes y gráficos en textos	[USEP,PAA,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.2.3.1	Obtención de conclusiones a partir de texto e imagen/mapa/tabla.	[USEP,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3	Gramática y Redacción	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.1	Morfosintaxis y la Oración	[UNAM,IPN,UAM,EXANI II ESP,PAA,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.1.1	La oración: sujeto,predicado y sus núcleos.	[UNAM,IPN,UAM,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.1.2	Concordancia: nominal (género/número) y verbal (sujeto/verbo).	[UNAM,IPN,UAM,EXANI II ESP,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.1.3	Tipos de oraciones: simples,compuestas,coordinadas y subordinadas.	[UAM,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.1.4	Uso correcto de nexos,conectores y preposiciones.	[UNAM,IPN,UAM,PAA,EXANI II ESP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.1.5	Verbos: tiempos,modos,uso correcto del gerundio y participio.	[UNAM,IPN,UAM,PAA,EXANI II ESP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.1.6	Pronombres: personales,posesivos y objeto.	[PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.2	Ortografía	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.2.1	Reglas de acentuación: agudas,graves,esdrújulas,diacríticos y hiatos.	[UNAM,IPN,UAM,EXANI II ESP,PAA,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.2.2	Puntuación: uso de coma,punto,punto y coma,dos puntos,comillas,paréntesis.	[UNAM,IPN,UAM,EXANI II ESP,PAA,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.2.3	Uso de grafías: B/V,C/S/Z,G/J,H,LL/Y,R/RR,X.	[UNAM,IPN,UAM,EXANI II ESP,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.2.4	Uso de mayúsculas y minúsculas.	[UNAM,IPN,UAM,EXANI II ESP,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.3	Vicios del lenguaje y corrección de estilo	[UNAM,IPN,UAM,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.3.1	Barbarismos,solecismos,cacofonías,anfibologías,redundancias.	[IPN,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.3.2	Pobreza de vocabulario y queísmo/dequeísmo.	[IPN]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.3.3.3	Coherencia y cohesión textual (unidad temática,eliminación de ambigüedades).	[UNAM,IPN,UAM,EXANI II ESP,PAA,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4	Léxico,Semántica y Razonamiento Verbal	[UNAM,IPN,UAM,EXANI II ESP,BUAP,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.1	Relaciones semánticas	[UNAM,IPN,UAM,EXANI II ESP,PAA,BUAP,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.1.1	Sinónimos y antónimos en contexto.	[UNAM,IPN,UAM,EXANI II ESP,PAA,BUAP,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.1.2	Homófonos y homónimos.	[UNAM,IPN,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.1.3	Parónimos y polisemia.	[UNAM]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.1.4	Campos semánticos.	[UAM,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.2	Analogías y Lógica Verbal	[UNAM,UAM,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.2.1	Analogías verbales: causa-efecto,parte-todo,género-especie,oposición.	[UNAM,UAM,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.2.2	Completamiento de oraciones y frases (coherencia léxica).	[UAM,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.2.3	Silogismos y premisas: identificación y construcción de conclusiones lógicas.	[USEP,UAM A3,UAM A4]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.2.4	Decodificación de mensajes y códigos.	[USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.3	Etimologías grecolatinas	[UAM]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.4.3.1	Raíces,prefijos y sufijos de origen griego y latino.	[UAM]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5	Literatura (Teoría,Historia y Análisis)	[UNAM,EXANI II MOD11,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.1	Teoría Literaria	[UNAM,EXANI II MOD11,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.1.1	Propiedades del texto literario: función poética,adecuación,cabalidad.	[UNAM]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.1.2	Géneros literarios: Épico/Narrativo,Lírico,Dramático,Didáctico/Ensayo.	[UNAM,EXANI II MOD11,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.1.3	Figuras retóricas: metáfora,símil,hipérbole,personificación,paradoja,aliteración,sinestesia.	[UNAM,IPN,UAM,EXANI II MOD11,PAA,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.1.4	Corrientes literarias: definición y características generales.	[UNAM,EXANI II MOD11,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.2	Historia de la Literatura Universal	[UNAM,EXANI II MOD11,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.2.1	Antigüedad y Edad Media: Épica griega,Teatro griego,Feudalismo.	[UNAM,EXANI II MOD11,UAM A3]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.2.2	Renacimiento,Siglo de Oro y Neoclasicismo.	[UNAM,EXANI II MOD11,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.2.3	Romanticismo,Realismo y Naturalismo.	[UNAM,EXANI II MOD11,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
